manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,id,month,season,weekend,consumption(kWh/100km)_rolling_mean
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-01-08,108786,27.0,4.54,Green electricity,Summer tires,1,0,1,Moderate,16.81,1,0,0.2099999999999973,0,1,winter,weekend,22.25
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-31,108759,18.0,2.75,Green electricity,Summer tires,1,0,1,Moderate,15.28,1,0,-1.320000000000002,0,7,summer,weekend,16.044999999999998
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-30,108741,44.0,9.6,Green electricity,Summer tires,1,0,1,Normal,16.7,1,0,0.0999999999999978,0,7,summer,weekend,15.99
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-29,108697,48.0,6.14,Green electricity,Summer tires,1,0,1,Normal,16.7,0,0,0.0999999999999978,0,7,summer,weekday,16.7
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-27,108649,17.0,17.0,Green electricity,Summer tires,1,0,1,Normal,16.7,0,0,0.0999999999999978,0,7,summer,weekday,16.7
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-27,108632,129.0,7.0,Green electricity,Summer tires,1,1,1,Normal,16.7,0,0,0.0999999999999978,0,7,summer,weekday,16.7
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-24,108503,49.0,6.87,Green electricity,Summer tires,1,0,1,Moderate,14.02,0,0,-2.580000000000002,0,7,summer,weekend,15.36
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-23,108454,52.0,7.35,Green electricity,Summer tires,1,0,1,Normal,14.13,0,0,-2.4700000000000006,0,7,summer,weekend,14.075
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-22,108402,38.0,5.3,Green electricity,Summer tires,1,0,1,Normal,13.95,1,0,-2.650000000000002,0,7,summer,weekday,14.04
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-21,108364,44.0,7.6,Green electricity,Summer tires,1,0,1,Normal,17.27,1,0,0.6699999999999982,0,7,summer,weekday,15.61
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-20,108320,93.0,15.5,Green electricity,Summer tires,1,0,1,Normal,16.67,1,0,0.0700000000000002,0,7,summer,weekday,16.97
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-18,108227,51.0,9.31,Green electricity,Summer tires,1,0,1,Normal,18.25,1,0,1.6499999999999986,0,7,summer,weekday,17.46
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-13,108176,20.0,3.56,Green electricity,Summer tires,1,0,1,Normal,17.8,1,0,1.1999999999999993,0,7,summer,weekday,18.025
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-13,108156,22.0,4.8,Green electricity,Summer tires,1,0,0,Moderate,21.82,0,0,5.219999999999999,0,7,summer,weekday,19.810000000000002
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-10-07,108134,117.0,21.56,Green electricity,Summer tires,1,1,1,Fast,18.43,1,0,1.8299999999999983,0,10,fall,weekday,20.125
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-09-07,108017,43.0,7.26,Green electricity,Summer tires,1,0,1,Moderate,16.88,1,0,0.2799999999999976,0,9,fall,weekday,17.655
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-07,107974,73.0,10.52,Green electricity,Summer tires,1,0,1,Moderate,14.41,1,0,-2.1900000000000013,0,7,summer,weekday,15.645
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-07,107903,32.0,7.2,Green electricity,Summer tires,1,0,1,Normal,18.12,1,0,1.5199999999999996,0,5,spring,weekend,16.265
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-07,107871,37.0,5.3,Green electricity,Summer tires,1,0,1,Normal,18.12,1,0,1.5199999999999996,0,5,spring,weekend,18.12
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-07,107834,11.0,2.64,Green electricity,Summer tires,1,0,0,Moderate,24.0,0,0,7.399999999999999,0,4,spring,weekday,21.060000000000002
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-07,107823,173.0,27.63,Green electricity,Summer tires,1,1,1,Moderate,15.97,0,0,-0.6300000000000008,0,2,winter,weekday,19.985
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-07,107650,11.0,14.01,Green electricity,Summer tires,1,0,0,Moderate,16.98,0,0,0.379999999999999,0,2,winter,weekday,16.475
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-01-07,107639,35.0,2.23,Green electricity,Summer tires,1,0,0,Normal,16.98,0,0,0.379999999999999,0,1,winter,weekday,16.98
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-01-07,107604,19.0,6.16,Green electricity,Summer tires,1,0,0,Normal,16.98,0,0,0.379999999999999,0,1,winter,weekday,16.98
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-30,107585,104.0,6.3,Green electricity,Summer tires,1,0,1,Normal,16.98,0,0,0.379999999999999,0,6,summer,weekday,16.98
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-28,107481,42.0,6.72,Green electricity,Summer tires,1,0,1,Normal,16.0,0,0,-0.6000000000000014,0,6,summer,weekday,16.490000000000002
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-26,107439,4.0,4.1,Green electricity,Summer tires,1,0,1,Normal,14.91,0,0,-1.6900000000000013,0,6,summer,weekend,15.455
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-25,107435,96.0,10.81,Green electricity,Summer tires,1,0,1,Normal,14.91,0,0,-1.6900000000000013,0,6,summer,weekend,14.91
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-24,107339,16.0,3.08,Green electricity,Summer tires,1,0,0,Normal,19.25,0,0,2.6499999999999986,0,6,summer,weekday,17.08
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-23,107323,20.0,3.55,Green electricity,Summer tires,1,0,0,Normal,17.75,0,0,1.1499999999999986,0,6,summer,weekday,18.5
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-20,107303,68.0,8.65,Green electricity,Summer tires,1,0,0,Moderate,12.72,0,0,-3.880000000000001,0,6,summer,weekday,15.235
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-17,107235,29.0,4.66,Green electricity,Summer tires,1,0,1,Normal,16.07,0,0,-0.5300000000000011,0,6,summer,weekday,14.395
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-16,107206,18.0,3.28,Green electricity,Summer tires,1,0,1,Normal,18.22,0,0,1.6199999999999974,0,6,summer,weekday,17.145
